"","25617X10","25617X11","25617X12","25617X13","25617X14","25617X15","25617X16","25617X17","25617X19","25617X1","25617X20","25617X21","25617X22","25617X23","25617X24","25617X25","25617X26","25617X27","25617X28","25617X29","25617X2","25617X30","25617X31","25617X32","25617X33","25617X34","25617X35","25617X36","25617X37","25617X38","25617X39","25617X3","25617X40","25617X41","25617X42","25617X43","25617X44","25617X45","25617X46","25617X47","25617X48","25617X49","25617X4","25617X50","25617X51","25617X52","25617X53","25617X54","25617X55","25617X56","25617X57","25617X58","25617X59","25617X5","25617X60","25617X61","25617X62","25617X63","25617X6","25617X7","25617X8","25617X9","garrett_1","garrett_10","garrett_11","garrett_12","garrett_13","garrett_14","garrett_15","garrett_16","garrett_17","garrett_18","garrett_19","garrett_2","garrett_20","garrett_21","garrett_22","garrett_23","garrett_24","garrett_25","garrett_26","garrett_27","garrett_28","garrett_29","garrett_3","garrett_30","garrett_31","garrett_32","garrett_33","garrett_34","garrett_35","garrett_36","garrett_37","garrett_38","garrett_39","garrett_4","garrett_40","garrett_41","garrett_42","garrett_43","garrett_44","garrett_45","garrett_46","garrett_47","garrett_48","garrett_49","garrett_5","garrett_50","garrett_51","garrett_52","garrett_53","garrett_54","garrett_55","garrett_56","garrett_57","garrett_58","garrett_59","garrett_6","garrett_60","garrett_61","garrett_62","garrett_63","garrett_64","garrett_65","garrett_66","garrett_67","garrett_68","garrett_69","garrett_7","garrett_70","garrett_71","garrett_72","garrett_73","garrett_74","garrett_75","garrett_76","garrett_77","garrett_78","garrett_79","garrett_8","garrett_80","garrett_81","garrett_83","garrett_84","garrett_85","garrett_86","garrett_87","garrett_88","garrett_89","garrett_9","garrett_90","garrett_91","garrett_92","garrett_93","garrett_94","garrett_95","garrett_96"
"tetracycline",2.76192783842053,2.41664050733828,4.2500538695218,4.03586981369555,4.6629749246538,3.64117654661311,4.32931650509026,4.4485671997481,4.53691179429362,3.98186389099135,3.72049006845005,3.70969386972779,2.53019969820308,3.41664050733828,3.16435285578444,3.28578227377939,2.90471554527868,3.03100428136354,3.82229887126237,3.228400358703,3.9831299247347,1.9731278535997,1.69897000433602,1.89762709129044,2.77524625974024,1.98677173426624,2.81756536955978,2.48000694295715,3.06258198422816,2.80413943233535,3.13798673272353,4.13918618041613,3.56784945057311,2.83442070368153,2.44090908206522,0.477121254719662,0.301029995663981,1.11394335230684,0.477121254719662,0.477121254719662,0.477121254719662,1.14612803567824,4.10226214949427,2.08635983067475,1.50514997831991,1.57978359661681,1.65321251377534,1.14612803567824,1.04139268515822,1.77085201164214,1.04139268515822,0.301029995663981,0.477121254719662,4.10308500184161,0,1.46239799789896,0,0.698970004336019,3.95366306374709,3.98421216676143,4.00646604224923,3.03582982525283,2.93500315145365,3.16761267272753,3.78660947264866,3.50365451924296,3.18639121569549,3.76335310874822,3.99869515831166,2.76342799356294,3.2626883443017,3.08206693428511,3.44294986957786,2.97127584873811,2.78746047451842,3.18949031369937,3.0484418035504,3.35907622605926,3.54182876678131,3.11461098423217,3.24229290498293,3.17580163284828,2.98317507203781,3.2087100199064,3.34183005692051,3.36304759452109,3.33223641549144,2.92839585225671,0,0,2.57634135020579,3.13385812520333,0.698970004336019,2.26245108973043,2.26007138798507,3.15044940946088,2.02938377768521,0.954242509439325,0.477121254719662,3.088844562727,0,0.954242509439325,3.19562294358694,2.04921802267018,3.25478968739721,0,2.9532763366673,1.46239799789896,1.72427586960079,0,2.21218760440396,0.698970004336019,0.845098040014257,1,1.11394335230684,0,0.778151250383644,2.8318697742805,1.44715803134222,1.61278385671974,2.06445798922692,0,0.698970004336019,0,2.38201704257487,2.3654879848909,2.24797326636181,0,3.24154648059655,2.12057393120585,1.23044892137827,2.47421626407626,0,1.04139268515822,0,0,3.26434550705009,2.24797326636181,1.25527250510331,3.89231726072248,0,0,0,0,1.39794000867204,1,0.903089986991944,1.04139268515822,1.04139268515822,3.14674801363064,0,0.477121254719662,1.43136376415899,0,0,2.00432137378264,2.16136800223497
"macrolide",1.8750612633917,1.86923171973098,3.85678928875332,3.55690526905545,4.46955694185667,2.99431715266964,4.11766894056244,4.07736790528416,4.55221787357418,3.5165353738958,3.00389116623691,2.72427586960079,2.3747483460101,3.35964579267454,2.90633504180509,3.08134730780413,3.10071508657308,3.4323277922616,3.88829184535652,3.44947839918736,3.67715052127343,1.38021124171161,1.60205999132796,1.7481880270062,2.27646180417324,1.56820172406699,3.05918461763137,2.55870857053317,2.67851837904011,2.46982201597816,2.66370092538965,3.15745676813423,3.22556771343947,2.55630250076729,2.24797326636181,0.301029995663981,0,0.845098040014257,0.698970004336019,1.07918124604762,1.32221929473392,1,3.16136800223497,1.77815125038364,2.17897694729317,2.15836249209525,1.89209460269048,0.845098040014257,1.46239799789896,1.36172783601759,0,1.34242268082221,0,2.62013605497376,0,0.698970004336019,0.845098040014257,1.11394335230684,2.79379038469082,3.80935767021111,3.80154090619032,2.92788341033071,2.31386722036915,1.83250891270624,2.82477646247555,2.66558099101795,2.15533603746506,3.42651126136458,3.66754633951152,1.73239375982297,2.90308998699194,2.76192783842053,2.74585519517373,2.34830486304816,2.36735592102602,2.77524625974024,2.03742649794062,2.35793484700045,2.73239375982297,2.45024910831936,2.58883172559421,2.31806333496276,2.19589965240923,2.60530504614111,3.12807601266872,2.73078227566639,2.55750720190566,1.93449845124357,0.477121254719662,0.698970004336019,2.30535136944662,2.05690485133647,0.477121254719662,1.69897000433602,2.28103336724773,2.89707700320942,1.64345267648619,0,0,2.66651798055488,0,0.903089986991944,2.71349054309394,1.78532983501077,2.56229286445647,0,2.39619934709574,1.79934054945358,1.73239375982297,0,2.17897694729317,0,0,0,1.17609125905568,0,0,1.57978359661681,1.34242268082221,0.698970004336019,1.63346845557959,0,0,0,1.83250891270624,1.98677173426624,1.89209460269048,0,2.38738982633873,1.68124123737559,1.32221929473392,2.23552844690755,0,0.698970004336019,0,0.698970004336019,3.16849748352303,1.80617997398389,0.301029995663981,3.78986263004638,0,0,0,0,1.11394335230684,0.477121254719662,0.602059991327962,1.04139268515822,1.11394335230684,2.44404479591808,0,0.477121254719662,0.602059991327962,0,0,1.89209460269048,1.96848294855394
"lincosamide",1.69019608002851,1.50514997831991,3.76275356493337,3.44870631990508,3.32715451240943,2.29885307640971,3.14270224573762,3.6063813651106,3.52126887559839,3.52179164963912,2.44247976906445,2.41161970596323,2.29885307640971,3.38632057389405,2.72263392253381,2.61489721603313,2.67577834167409,3.25066391946324,3.96946250797464,3.33984878303764,3.67449371729635,1.14612803567824,1.20411998265592,1.44715803134222,2.18752072083646,1.53147891704226,2.99255351783214,2.46239799789896,2.66838591669,2.11058971029925,2.17897694729317,2.98497712641549,3.14207646107328,2.4456042032736,2.05690485133647,0.477121254719662,0,0.698970004336019,1,1.07918124604762,1.07918124604762,1.07918124604762,3.17638069224327,1.67209785793572,2.07554696139253,2.04921802267018,1.56820172406699,0.954242509439325,1.11394335230684,1.04139268515822,0,1.34242268082221,0,3.05076631123304,0,0.301029995663981,0.602059991327962,1.14612803567824,2.82607480270083,3.81815988639719,3.80719666071095,2.02530586526477,2.31806333496276,1.25527250510331,2.84509804001426,2.39269695325967,2.25285303097989,2.95036485437612,2.93701610746481,1.6232492903979,1.23044892137827,1.93449845124357,2.69284691927723,2.35024801833416,1.72427586960079,2.61278385671974,1.96378782734556,2.31597034545692,2.69019608002851,2.45331834004704,2.56348108539441,2.27646180417324,2.48000694295715,2.53907609879278,2.74429298312268,2.72672720902657,2.54406804435028,2.06445798922692,0.477121254719662,0.477121254719662,2.25285303097989,1.63346845557959,0.477121254719662,1.5910646070265,2.26245108973043,1.55630250076729,1.23044892137827,0,0,2.62736585659273,0,0.301029995663981,2.47129171105894,1.96848294855394,2.36361197989214,0,2.22788670461367,0.698970004336019,1.50514997831991,0,1.74036268949424,0,0,0,0.477121254719662,0.301029995663981,0,1.69019608002851,0.778151250383644,0.698970004336019,1.63346845557959,0,0,0,1.66275783168157,1.79934054945358,1.75587485567249,0.301029995663981,2.39967372148104,1.44715803134222,1.07918124604762,2.18184358794477,0,0,0,0,3.11427729656159,1.43136376415899,0,2.83442070368153,0.301029995663981,0,0.477121254719662,0,0.845098040014257,0,0.301029995663981,0.954242509439325,1.04139268515822,2.56702636615906,0,0.477121254719662,0.477121254719662,0.602059991327962,0.301029995663981,1.79239168949825,1.74036268949424
"cephalosporin",1.55630250076729,1.38021124171161,2.91487181754005,2.64048143697042,4.69392031636733,2.78390357927274,4.09046968023116,4.098851307028,4.52989212419454,2.93550726582471,3.228400358703,3.19312459835446,2.0899051114394,2.77742682238931,2.40140054078154,2.4996870826184,2.18184358794477,1.92941892571429,2.97451169273733,2.59769518592551,3.24748226067705,1.36172783601759,1.43136376415899,0.602059991327962,2.34044411484012,2.02938377768521,1.85733249643127,1.66275783168157,2.86093662070009,2.32428245529769,1.8750612633917,3.19975517725347,2.31597034545692,1.68124123737559,1.47712125471966,0,0.477121254719662,1.69897000433602,0.602059991327962,0.602059991327962,0.602059991327962,0.602059991327962,3.55906833403454,2.26717172840301,0.954242509439325,1.38021124171161,1.38021124171161,1.41497334797082,1.84509804001426,1.30102999566398,0.477121254719662,0.301029995663981,0,2.61384182187607,0,0.477121254719662,0.301029995663981,0,2.57518784492766,3.69905685454767,3.64522571153542,3.07773117965239,1.79239168949825,1.27875360095283,3.12936759572299,2.73878055848437,1.65321251377534,3.56002624891289,3.85727217356404,2.14612803567824,3.2145789535705,3.12057393120585,2.87448181769947,2.48713837547719,2.33445375115093,2.76342799356294,2.29446622616159,2.65991620006985,2.57287160220048,2.53529412004277,2.5092025223311,2.13353890837022,2.42160392686983,2.27646180417324,3.2559957267224,2.8494194137969,2.39093510710338,1.9731278535997,0,0.301029995663981,2.38381536598043,2.05307844348342,0.477121254719662,1.47712125471966,1.84509804001426,3.14674801363064,0.698970004336019,0,0,2.80345711564841,0,0.301029995663981,2.11058971029925,1.36172783601759,2.48855071650044,0,2.60959440922522,1,0.954242509439325,0,0.903089986991944,0,0,0.477121254719662,0,0,0.698970004336019,1.96848294855394,0.602059991327962,0.845098040014257,1.5910646070265,0.301029995663981,0.698970004336019,0.477121254719662,1.85733249643127,1.67209785793572,1.20411998265592,0,2.29666519026153,0.477121254719662,0.477121254719662,1.77085201164214,0,0,0,0,2.38738982633873,1.14612803567824,1.17609125905568,3.86799751034495,0,0,0,0,1.17609125905568,0.698970004336019,0.477121254719662,0.698970004336019,0.698970004336019,2.31597034545692,0,0,0,0,0.301029995663981,1.43136376415899,1.81291335664286
"streptogramin",1.47712125471966,1.68124123737559,3.51785541893003,3.26030994579492,3.17405980772503,2.39794000867204,3.23426412437879,3.31302311032324,2.91750550955255,3.34986008219233,2.90145832139611,2.56348108539441,2.30319605742049,3.4451369687133,2.8109042806687,2.94299959336604,2.78247262416629,2.91487181754005,4.01435250065101,3.39497671955456,3.51188336097887,0.903089986991944,1.41497334797082,1.39794000867204,2.28555730900777,1.57978359661681,3.02325245963371,2.27646180417324,2.7481880270062,2.40654018043396,2.63648789635337,2.47129171105894,3.38632057389405,2.63748972951251,2.33445375115093,0.301029995663981,0,0.698970004336019,0.778151250383644,1.04139268515822,1.11394335230684,1.07918124604762,2.71011736511182,1.5910646070265,2.21218760440396,2.25767857486918,1.86923171973098,0.954242509439325,1.27875360095283,1.04139268515822,0,1.30102999566398,0,2.67024585307412,0,0.301029995663981,0.602059991327962,1.14612803567824,2.58658730467176,3.81291335664286,3.80726435527611,0.477121254719662,2.27415784926368,0.903089986991944,2.81624129999178,2.33041377334919,2.11058971029925,2.85369821177617,2.59328606702046,1.27875360095283,1,1.32221929473392,2.65609820201283,1.49136169383427,1.39794000867204,1.85125834871908,1.81954393554187,2.28103336724773,2.56584781867352,1.79239168949825,2.47712125471966,2.1846914308176,1.90848501887865,2.4996870826184,2.30535136944662,2.66275783168157,2.21748394421391,1.77085201164214,0.477121254719662,0.477121254719662,2.29446622616159,1.54406804435028,0,1.69897000433602,2.26007138798507,0.698970004336019,1.46239799789896,0,0,2.6170003411209,0,0.903089986991944,2.35983548233989,1.79934054945358,2.13672056715641,0,2.18752072083646,1.20411998265592,1.47712125471966,0,2.03742649794062,0,0,0,1.04139268515822,0.301029995663981,0,1.56820172406699,1.17609125905568,0.477121254719662,1.81954393554187,0,0,0,1.8750612633917,1.94448267215017,1.81291335664286,0.301029995663981,2.28330122870355,1.50514997831991,1,2.20139712432045,0,0,0,0.698970004336019,2.98000337158375,1.68124123737559,0,1.25527250510331,0.301029995663981,0,0.477121254719662,0,0.698970004336019,0,0.477121254719662,0.698970004336019,0.845098040014257,2.29003461136252,0,0,0.602059991327962,0.602059991327962,0,1.77085201164214,1.81291335664286
"fluoroquinolone",1.04139268515822,0.903089986991944,1.38021124171161,1.5910646070265,4.80263691808281,2.91328390176042,4.37395966987547,4.26808630444738,4.79159241298741,2.32221929473392,1.91907809237607,2.19589965240923,2.13353890837022,2.96473092105363,2.93399316383124,2.71516735784846,3.11627558758054,3.92546680069154,3.60173414826011,3.63568476254722,2.71349054309394,1.61278385671974,1.61278385671974,2,2.23552844690755,1.78532983501077,3.34183005692051,3.04336227802113,2.0899051114394,2.13033376849501,1.88081359228079,2.66931688056611,2.79588001734408,2.09691001300806,2.15533603746506,0.477121254719662,0,0.698970004336019,0,0,0.477121254719662,1.07918124604762,1.39794000867204,1.32221929473392,1.77085201164214,1.84509804001426,1.82607480270083,0.301029995663981,1.20411998265592,0.845098040014257,0,0,0.477121254719662,2.1846914308176,0,1.41497334797082,0.698970004336019,0.698970004336019,2.40993312333129,1.95424250943932,1.6232492903979,3.27989498001164,1.17609125905568,1.17609125905568,1.9731278535997,2.46686762035411,1.86332286012046,3.64167237322469,4.01715859848782,1.32221929473392,3.36716948853468,3.17289469775218,1.11394335230684,0.698970004336019,2.61909333062674,2.69108149212297,1.27875360095283,0.602059991327962,1.79239168949825,0.698970004336019,1.34242268082221,0.698970004336019,1.07918124604762,1.56820172406699,3.25935492730803,1.30102999566398,1.20411998265592,0.477121254719662,0,0.477121254719662,1.90308998699194,1.82607480270083,0,1.17609125905568,2.27415784926368,3.25719842613934,1.11394335230684,0,0,1.85125834871908,0,0,2.19589965240923,2.07918124604762,2.24303804868629,0,2.33445375115093,1.32221929473392,2.05690485133647,0,2.51982799377572,0,0.698970004336019,0.477121254719662,1.20411998265592,0,0.301029995663981,0.903089986991944,1.67209785793572,1,1.63346845557959,0,0.301029995663981,0.698970004336019,1.70757017609794,2.07918124604762,1.77085201164214,0,0.954242509439325,1.60205999132796,1.30102999566398,2.0899051114394,0,0.845098040014257,0,1.07918124604762,3.42275394130135,1.47712125471966,1,4.16166741243774,0,0,0,0,1.27875360095283,0.845098040014257,0.698970004336019,1.04139268515822,1.04139268515822,1.69019608002851,0,0,0.477121254719662,0,0,1.9731278535997,2
"rifamycin",1.34242268082221,1.36172783601759,2.86272752831797,3.23704079137919,4.49358351121327,3.2973227142053,3.89276223461582,3.8563058664333,4.27689817720534,3.0111473607758,2.87794695162919,2.83758843823551,1.6232492903979,2.2148438480477,2.38738982633873,2.13672056715641,1.96378782734556,2.10720996964787,2.42488163663107,2.11058971029925,2.90308998699194,1.63346845557959,1.23044892137827,1.11394335230684,1.73239375982297,1.20411998265592,1.51851393987789,1.65321251377534,1.93449845124357,1.60205999132796,1.72427586960079,4.00603795499732,2.28330122870355,1.65321251377534,0,0.477121254719662,0.477121254719662,0,0,1.17609125905568,1.32221929473392,1.20411998265592,4.07342505674598,1.25527250510331,1.47712125471966,1.63346845557959,1.11394335230684,0.698970004336019,1,1.27875360095283,0.301029995663981,0.903089986991944,0,3.18012587516405,0,0,0.778151250383644,0.845098040014257,3.16046853111904,3.28555730900777,3.69063901171597,2.76789761601809,1.89762709129044,2.30319605742049,2.32428245529769,2.48572142648158,2.15228834438306,3.09760432887441,3.64855515566267,2.34044411484012,3.05192391604611,2.85125834871908,1.96848294855394,1.72427586960079,2.25527250510331,2.61066016308988,2.28555730900777,2.22530928172586,2.19312459835446,2.15533603746506,1.92941892571429,2.10380372095596,2.23552844690755,2.34044411484012,2.85733249643127,2.02530586526477,2.02938377768521,2.0899051114394,0,0,1.83884909073726,2.12057393120585,0,0.845098040014257,1.61278385671974,2.9532763366673,1.36172783601759,0.477121254719662,0,1.83884909073726,0,0,2.18184358794477,0.698970004336019,2.32837960343874,0,2.66370092538965,0.845098040014257,0.301029995663981,0.477121254719662,1,0,0,0.477121254719662,0,0,0,2.20411998265593,1.04139268515822,0,1.07918124604762,0,0,0,1.34242268082221,0.698970004336019,0.477121254719662,0,2.03742649794062,1.27875360095283,0.903089986991944,1.70757017609794,0,0,0,0.477121254719662,2.26245108973043,1.17609125905568,1.04139268515822,3.62448836251345,0,0,0,0,1.04139268515822,0,0,0.477121254719662,0.477121254719662,2.35602585719312,0,0,0,0,0,1.23044892137827,1.04139268515822
"penicillin",3.66885164808252,1.04139268515822,2.55750720190566,2.58771096501891,4.74777680367265,2.46834733041216,4.34153344144041,4.23461850586063,4.74854462246324,2.44090908206522,2.25285303097989,2.2380461031288,1.94448267215017,1.98227123303957,2.50379068305718,1.82607480270083,0.845098040014257,1.36172783601759,2.32428245529769,1.57978359661681,2.73639650227664,1.17609125905568,1.23044892137827,1.25527250510331,1.25527250510331,1.97772360528885,0.845098040014257,0.477121254719662,1.69897000433602,1.47712125471966,1.32221929473392,2.49692964807321,1.43136376415899,0.602059991327962,1.32221929473392,0.778151250383644,0.477121254719662,1.63346845557959,1.11394335230684,0.602059991327962,0.698970004336019,0.778151250383644,2.19865708695442,2.26951294421792,1.89762709129044,1.44715803134222,1.69019608002851,1.36172783601759,1.89209460269048,1.23044892137827,0,1.32221929473392,0,2.30102999566398,0,0.477121254719662,1.95904139232109,1.68124123737559,2.33645973384853,2.61172330800734,2.83314711191279,3.22271647114758,1.23044892137827,1.43136376415899,1.77815125038364,2.55509444857832,1.69897000433602,3.57391544042155,3.91682228459591,1,3.25478968739721,3.10414555055401,1.41497334797082,0.602059991327962,2.53781909507327,2.64738297011462,1.25527250510331,1.17609125905568,1.78532983501077,0.778151250383644,1.36172783601759,1.27875360095283,1.39794000867204,1.73239375982297,3.22634208716363,1.07918124604762,1.04139268515822,1.04139268515822,0,0,1.30102999566398,1.7481880270062,0,0,1.14612803567824,3.19506899646859,0.602059991327962,0,0,1.83250891270624,0,0,2.12385164096709,0.477121254719662,2.25767857486918,0.477121254719662,2.45024910831936,0,0.477121254719662,0,0,0,0,0.477121254719662,0.301029995663981,0,0.301029995663981,0.954242509439325,0,0,1.17609125905568,0.477121254719662,0.477121254719662,0.602059991327962,1.17609125905568,0,0.698970004336019,0,1.23044892137827,0.602059991327962,0.602059991327962,0.698970004336019,0,0.698970004336019,0,0.778151250383644,1.41497334797082,0.845098040014257,0.778151250383644,4.07488954804067,0.602059991327962,0,0,0.477121254719662,1.27875360095283,1,0.477121254719662,0.698970004336019,0,1.76342799356294,0,0.698970004336019,0,0,0.301029995663981,0,1.39794000867204
"streptogramin A",0.301029995663981,1.49136169383427,3.30016053695135,3.1156105116743,3.16643011384328,1.72427586960079,2.41497334797082,3.23929947912689,2.90091306773767,3.28578227377939,2.06818586174616,1.75587485567249,2.05690485133647,3.16996817399689,2.13033376849501,1.81954393554187,2.00860017176192,1.81954393554187,3.42357351973274,2.82930377283102,3.45270622651103,0.602059991327962,0.301029995663981,1.11394335230684,1.64345267648619,1.17609125905568,2.23044892137827,1.72427586960079,2.47275644931721,1.69897000433602,1.32221929473392,2.34439227368511,2.38381536598043,1.6232492903979,1.57978359661681,0,0,0.698970004336019,0.778151250383644,1.04139268515822,1.07918124604762,1,2.63447727016073,1.56820172406699,2.06818586174616,2.04139268515822,1.53147891704226,0.698970004336019,1.11394335230684,0.954242509439325,0,1.30102999566398,0,2.06445798922692,0,0.301029995663981,0.602059991327962,1.11394335230684,1.94448267215017,3.80692577688373,3.79913369330206,0.477121254719662,2.26951294421792,0.602059991327962,2.76863810124761,2.25042000230889,2.06818586174616,2.85003325768977,2.44404479591808,1.27875360095283,0,1.23044892137827,2.59769518592551,1.49136169383427,1.17609125905568,1.73239375982297,1.73239375982297,2.23299611039215,2.51719589794997,1.76342799356294,2.4456042032736,2.14612803567824,1.88649072517248,2.47567118832443,2.28103336724773,2.65609820201283,2.1846914308176,1.5910646070265,0.477121254719662,0,2.10720996964787,1.27875360095283,0,1.46239799789896,1.90308998699194,0.477121254719662,0.477121254719662,0,0,2.60638136511061,0,0,2.09342168516224,1.20411998265592,2.00432137378264,0,2.14612803567824,0.477121254719662,0.778151250383644,0,0.477121254719662,0,0,0,0,0,0,1.27875360095283,0,0.477121254719662,0.602059991327962,0,0,0,1.14612803567824,1.6232492903979,1.43136376415899,0,2.27875360095283,1,0.778151250383644,2.03342375548695,0,0,0,0,2.57749179983723,1.14612803567824,0,1.14612803567824,0,0,0,0,0.698970004336019,0,0.301029995663981,0.698970004336019,0.845098040014257,2.28555730900777,0,0,0,0,0,1.5910646070265,1.5910646070265
"streptogramin B",0.301029995663981,1.49136169383427,3.28533222764388,3.1034616220947,3.1646502159343,2.04921802267018,2.35793484700045,3.23375736296551,2.88874096068289,3.27461961909124,2.00432137378264,1.66275783168157,2.06818586174616,3.16256440652302,2.13672056715641,1.7160033436348,2.02530586526477,1.7160033436348,3.41979058610636,2.81690383937566,3.44839710345777,0.602059991327962,0.301029995663981,1.04139268515822,1.64345267648619,1.32221929473392,2.22788670461367,1.72427586960079,2.47275644931721,1.69019608002851,1.32221929473392,2.3096301674259,2.40140054078154,1.64345267648619,1.57978359661681,0,0,0.698970004336019,0.698970004336019,1.04139268515822,1.07918124604762,0.903089986991944,2.57863920996807,1.56820172406699,2.05307844348342,2.00432137378264,1.78532983501077,0.698970004336019,1.04139268515822,1.04139268515822,0,1.30102999566398,0,2.02530586526477,0,0,0.602059991327962,1.11394335230684,1.8750612633917,3.80461641698726,3.79837437668156,0.477121254719662,2.26481782300954,0.602059991327962,2.76715586608218,2.22530928172586,2.06818586174616,2.85125834871908,2.44247976906445,1.27875360095283,0,1.23044892137827,2.61066016308988,1.49136169383427,1.17609125905568,1.7160033436348,1.73239375982297,2.23299611039215,2.51719589794997,1.76342799356294,2.4456042032736,2.14612803567824,1.88649072517248,2.47567118832443,2.27875360095283,2.65609820201283,2.17897694729317,1.57978359661681,0.477121254719662,0,2.10720996964787,1.27875360095283,0,1.46239799789896,1.90308998699194,0.477121254719662,0.602059991327962,0,0,2.60638136511061,0,0,2.09342168516224,1.20411998265592,2.00432137378264,0,2.14612803567824,0.477121254719662,0.778151250383644,0,0.477121254719662,0,0,0,0,0,0,1.23044892137827,0,0.477121254719662,0.602059991327962,0,0,0,1,1.6232492903979,1.43136376415899,0,2.27875360095283,1,0.778151250383644,2.03342375548695,0,0,0,0,2.57518784492766,1.14612803567824,0,1.14612803567824,0,0,0,0,0.698970004336019,0,0,0.698970004336019,0.845098040014257,2.26481782300954,0,0,0.301029995663981,0,0,1.5910646070265,1.5910646070265
