"","garrett_3","garrett_4","garrett_5","garrett_7","garrett_8","garrett_9","garrett_10","garrett_11","garrett_12","garrett_13","garrett_14","garrett_15","garrett_17","garrett_18","garrett_19","garrett_21","garrett_28","garrett_30","garrett_31","garrett_36","garrett_43","garrett_46","garrett_48","25617X10","25617X11","25617X16","25617X17","25617X18","25617X19","25617X20","25617X21","25617X9"
"Burzaovirus",0,0,0,0,0,0,0,0,3.35836321437003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1446936097166,0.0178042732614009,0,0,1.26478135921387e-05,0,7.7346022824966e-06,0,0.0137862664002355
"Buhlduvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000367750204447795,0,0,0,0,0,0,0,0
"Bohxovirus",0,0,0,0,0,0,0,0,0,0.000215468946615414,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26377048635124e-05,0,0,0,0,0,0,0,0
"Cacepaovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59891393238172e-05,0,0,0,1.40531262134875e-06,0,0,0,0
"Chuhaivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,6.0893184889551e-06,1.40531262134875e-06,0,0,0,0
"Cohcovirus",0,0,0,0,0.141450848705092,0,0,0,0.0209897700898127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5778050706464,0.00613127291121091,0,4.87145479116408e-05,0.000241713770871984,0,0,0,0.0018588224359868
"Canhaevirus",0,0,0,0,0.664013984083905,0,0,0,0.00127617802146061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011971445707698,1.07995443734858,0,0,0.000292287287469845,0.000139125949513526,0,0,0,0.00023235280449835
"Culoivirus",0,0,0.000182239486376232,0,0.0011500069000414,0.00530443493439877,0,0,0.000167918160718502,0,0,0,0,0,0,0,0.024429976855202,0,0,0,0,0.000527309351304036,0,0.0758684660915125,0,0,0.000377537746315216,0.000193933141746127,0,3.09384091299864e-05,1.43901777251705e-05,0
"Buchavirus",9.51909983584312e-05,0,0,0.00158318029257172,0.00207001242007452,6.09705164873422e-05,0,0,0.000268669057149603,0,0,0,0,0,0.000412281877119386,0,0.000231563761660683,0,0.000136583846774777,0.0014982305896736,0,0,0.0005985722853849,1.06594262158781e-05,0.00176863641669546,7.55668952917895e-06,2.43572739558204e-05,2.81062524269749e-05,0,0.000286180284452374,0.000834630308059888,0
"Aurodevirus",0.018324267183998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275343251277054,5.32971310793906e-06,0,0,0,8.43187572809247e-06,0,0.000502749148362279,0.000733899063983695,0
"Kehishuvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369189226986938,0,0,0.000133965006757012,0.000428620349511367,0,0,0,0
"Kolpuevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128979057212125,0,1.51133790583579e-05,4.87145479116408e-05,5.90231300966473e-05,0,0,0,0
"Mahlunavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000419444613387414,0,0,0,0,0,0,0,0.00100198606429254,0,0,0,2.81062524269749e-06,0,0,0,0
"Mahstovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056494958944154,0,0,6.0893184889551e-06,1.40531262134874e-05,0,3.09384091299864e-05,0,0
"Kahnovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122583401482598,0,0,2.43572739558204e-05,7.02656310674372e-06,0,0,0,0
"Lebriduvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46159835111468e-05,0,0,0,7.02656310674372e-06,0,0,0,0
"Drivevirus",0,0,0,0,0,0,0,0,6.71672642874007e-05,0.388490510747591,0,0,0,0,0,0,0,0,0,0.0367066494470031,0,0,0,1.06594262158781e-05,0,0,0,0,0,0,0,0
"Kingevirus",0,0.000205530412335113,0.00601390305041564,0,0,0,0,0,0.99588902758929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,7.7346022824966e-06,0.000928166463273496,0.000697058413495051
"Miltoncavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594263011535205,0.00165072732224909,3.77834476458947e-05,0,0,0,0,0,0
"Samistivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266485655396953,0,0,6.0893184889551e-06,0,0,0,0,0
"Taranisvirus",0.000475954991792156,0,0,0.0176585494171461,0,0.00213396807705698,0.0083518422337002,0,0,0,0,0,0,0,5.15352346399233e-05,0,0.00289454702075853,0.000570070175638621,0.00355118001614421,0,0,0.00158192805391211,0.00071828674246188,0.000234507376749318,0,0,0.00160149076259519,0.000140531262134874,0,7.7346022824966e-06,7.19508886258524e-06,0
"Felixounavirus",0,0,0,0,0,0,0,0,0,0,0.000215792795757514,0,0,0,0,0,0,0,0,0,0,0,0,0.000154561680130233,2.24357424912541,0,0,1.40531262134875e-06,0,0,0,55.6024133711294
"Skunavirus",0,0.00287742577269158,0,0,0,0.0031704668573418,0,0.00105059706358121,0,0.180132039370486,0,0,0,0,0.00489584729079271,0,0.000463127523321365,0.0054156666685669,0,0,0,0.00421847481043229,0,0.000154561680130233,0.0326608191616427,3.02267581167158e-05,0,1.40531262134875e-06,0,0,0,0.000387254674163917
"Colunavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138572540806415,0,3.77834476458947e-05,0,0,0,0,0,0
"Fengtaivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127913114590537,0,0,0,0,0,0,0,0
"Mudcatvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5934835942903e-05,0,0,6.0893184889551e-06,0.000519965669899036,0,0,0,0
"Jedunavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06051228349639e-05,0,0,6.0893184889551e-06,0,0,0,0,0
"Junavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52754097270249e-05,0,0,0,0,0,0,0,0
"Sukhumvitvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19782786476343e-05,0,0,0,0,0,0,0,0
"Shapirovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13188524317562e-05,0,0,0,0,0,0,0,0
"Murrayvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13188524317562e-05,0,0,6.0893184889551e-06,0,0,0,0,0
