"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","25617X30","25617X31","25617X32","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Burzaovirus",0,0,0,0,0,0,0,0,0,0,0,0,0.00598086124401914,0,0,0,0,0,0,0,0
"Bohxovirus",0,0,0,0,0,0,0.0118698697053533,0,0.00432919173990216,0,0,0,0,0,0,0,0,0,0,0,0
"Cohcovirus",0.0255060946141868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurodevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177462289263531,0,0,0,0,0,0.000589407174264125
"Kahnovirus",0,0,0,0,0,0,0,0,0,0,0,0.0113224637681159,0,0,0,0,0,0,0,0,0
"Lebriduvirus",0,0,0,0,0,0,0,0,0,0,0,0.0113224637681159,0,0,0,0,0,0,0,0,0
"Drivevirus",0,0,0,0,0.0058503480957117,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9386618201932e-05,0,0
"Kingevirus",0,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miltoncavirus",0,0.00322071564301588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taranisvirus",0.00268485206465124,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0.00598488815740256,0,0,0.000240374214577254,0,9.8773236403864e-05,0,0.00176822152279238
"Skunavirus",0,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toutatisvirus",0.00939698222627933,0,0,0,0,0,0.00639146830288255,0,0,0.176991150442478,0,0,0,0,0.0335206546386671,0,0.000240374214577254,0,0,0,0.00589407174264125
"Brigitvirus",0.00268485206465124,0,0,0,0,0,0.000456533450205897,0,0,0,0,0.0113224637681159,0,0,0.0118308192842354,0,0,0,0.000148159854605796,0,0.004715257394113
"Paclarkvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110349941735231,0,0,0,0.000568462819689278,0
"Roseolovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149622203935064,0,0.000662099650411385,0.00264411636034979,0,0.000197546472807728,0.000568462819689278,0
"Gammaretrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111987363110184
"Bacteroides",13.918273103152,0.595832393957937,1.55902765906527,3.26105370150771,0.0409524366699819,0.760619977037887,2.32832059605007,8.8911774802609,0.426425386380363,19.8230088495575,0.104458964012863,12.7604166666667,4.32715311004785,5.16196603575971,7.17539189588879,0.206299216074014,0.134128811734108,0.318969877148431,0.0387191086703147,0.0661311746905194,1.74464523582181
"Phocaeicola",12.0469312140901,0.296305839157461,0.99148688844063,2.50719972895138,0,0.0717566016073479,0.815825275517937,3.05526948163405,0.145027923286722,6.78466076696165,0.0157029815182735,4.93659420289855,1.46680622009569,2.44482681229895,3.12727989746623,0.0134626928916982,0.0269219120326524,0.123627586612898,0.0131862270599158,0.020464661508814,0.736758967830156
"Parabacteroides",1.61225366482307,0.0966214692904764,0.249581182262641,0.368456716923598,0,0.0430539609644087,0.299942476785274,1.304497082046,0.0389627256591194,4.8377581120944,0.0122892898838662,30.4461050724638,0.357356459330144,0.513204159497269,0.554076703145026,0.0242218122108832,0.0144224528746352,0.0243508882722376,0.00321013018312558,0.00890591750846536,0.167981044665276
