"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Burzaovirus",0.106168470745159,-0.617907311515485,3.18250477783831,-0.194157544025807,0.846052525184519,0.999750903113572
"Bohxovirus",0.67266602529894,-0.517412319473031,3.18626866323255,-0.162388164389159,0.871000190586589,0.999750903113572
"Cohcovirus",0.965246991712784,-0.871034401091299,3.17558373821942,-0.274291113979471,0.783860912764287,0.999750903113572
"Aurodevirus",0.267662303138518,1.05303123471295,3.18594913341638,0.330523555341185,0.741004397185069,0.999750903113572
"Kahnovirus",0.112273353161998,0.592638299996684,3.19674889873592,0.185387817050951,0.852924863381988,0.999750903113572
"Lebriduvirus",0.112273353161998,0.592638299996684,3.19674889873592,0.185387817050951,0.852924863381988,0.999750903113572
"Drivevirus",0.15366263435149,0.00313201881955542,3.19503095358353,0.000980278083391512,0.999217851377236,0.999750903113572
"Kingevirus",0.0194264360494145,-0.0103792202727414,3.19360123174629,-0.00325000509442625,0.997406875677621,0.999750903113572
"Miltoncavirus",0.165228996325772,0.502251106884798,3.1978620823642,0.157058401503507,0.875198821423112,0.999750903113572
"Taranisvirus",0.320262390361482,0.0125423865597903,3.15263661298056,0.00397838003534842,0.996825720366281,0.999750903113572
"Skunavirus",0.0194264360494145,-0.0103792202727414,3.19360123174629,-0.00325000509442625,0.997406875677621,0.999750903113572
"Toutatisvirus",2.56678363760491,-1.74837290101227,3.11152305937476,-0.561902601282213,0.574182381272756,0.999750903113572
"Brigitvirus",0.537266780917364,0.0873843371659536,2.80811896277469,0.0311184598388985,0.975175067975726,0.999750903113572
"Paclarkvirus",0.0489800393789964,-0.0698439178321892,3.18147967553873,-0.0219532811632255,0.982485222776618,0.999750903113572
"Roseolovirus",0.727215609412097,0.451886751447253,2.97130775860293,0.152083455555518,0.879121112967265,0.999750903113572
"Gammaretrovirus",0.230729109109614,0.828021343153539,3.18175344373418,0.260240574197903,0.794678208467438,0.999750903113572
"Bacteroides",1601.73383344321,-1.51640412137741,0.693442670010617,-2.18677648053327,0.0287588452319716,0.999750903113572
"Phocaeicola",898.37771001259,-1.73589940192839,0.862973852604159,-2.01153186355536,0.0442693081964567,0.999750903113572
"Parabacteroides",486.961475222317,-1.29977583829363,0.828657600921928,-1.56853184819346,0.116757063361358,0.999750903113572
"Tannerella",752.870091437654,-0.352599971612265,1.09666874239749,-0.32151912239372,0.747817023334793,0.999750903113572
"Alistipes",441.94809773635,-1.1065007435062,0.701441807517239,-1.57746620125578,0.114688293158023,0.999750903113572
"Acetobacteroides",0.371328124540565,-0.637149197565445,3.15392953197832,-0.202017575568909,0.839902984134188,0.999750903113572
"Segatella",1521.03142029665,-0.737617030201571,0.834279457124921,-0.884136632997693,0.376622460052671,0.999750903113572
"Paraprevotella",35.873298201867,-2.24293578429221,0.712505115438242,-3.14795744717235,0.00164415625919725,0.999750903113572
"Prevotella",20149.9035871809,-1.10288610981491,0.966004123847644,-1.14169917352118,0.253579084484761,0.999750903113572
"Pseudoprevotella",6.36884323536321,-0.755708023645301,1.16628585885779,-0.647961233436723,0.517010024176599,0.999750903113572
"Hoylesella",316.510242145958,-0.735909493623481,0.818470715111609,-0.899127458119415,0.36858477405164,0.999750903113572
"Xylanibacter",2.52461106812123,-1.22778121156013,1.15443456410514,-1.06353469459037,0.287539540091214,0.999750903113572
"Odoribacter",23.5656496083146,-0.524350654952163,0.699636985653311,-0.74946102865407,0.453579379249178,0.999750903113572
"Butyricimonas",8.67118862303702,-1.53802335760985,0.983559405133905,-1.56373204260139,0.117880509445326,0.999750903113572
"Barnesiella",5.43958017796698,-1.62948852434344,0.919253387445183,-1.77262172388852,0.0762914095308184,0.999750903113572
"Coprobacter",2.15605768608946,-1.88688559904103,1.20617631988113,-1.56435304518911,0.117734681221488,0.999750903113572
"Porphyromonas",323.543990618133,-0.241283738827061,0.960322820185062,-0.251252738928524,0.801618712171845,0.999750903113572
"Macellibacteroides",0.759152736783875,-0.647967177065463,1.55468087531813,-0.416784683823214,0.676835906314996,0.999750903113572
"Sodaliphilus",1.01117287142301,-1.46491118951144,1.8443188175855,-0.794283057540583,0.427030664990008,0.999750903113572
"Duncaniella",1.0594800586282,-1.33213687635288,1.7403279580847,-0.765451632357245,0.444002657454737,0.999750903113572
"Muribaculum",0.784892590617145,-1.09146845146973,2.24243837681035,-0.486732863099781,0.626447653170129,0.999750903113572
"Paramuribaculum",1.05654485174103,-0.35393437265181,2.33113311283251,-0.151829327421698,0.8793215503467,0.999750903113572
"Proteiniphilum",0.997822268714555,-1.61863139593864,2.2998430544657,-0.7038008062314,0.481556831562003,0.999750903113572
"Dysgonomonas",0.311205856495799,-0.461103198473689,3.17109167265495,-0.145408347052811,0.88438847471225,0.999750903113572
"Petrimonas",0.659113837100696,-0.855027634942118,2.60071291195338,-0.328766635875973,0.742332083161828,0.999750903113572
"Paludibacter",0.465592798118567,-0.515809939788232,3.15825526290611,-0.163321168445898,0.870265567662031,0.999750903113572
"Salinivirga",0.215722635064979,-0.827724753387031,3.1681262094112,-0.261266344417783,0.793887118684734,0.999750903113572
"Candidatus Azobacteroides",0.297364701600201,-0.24462621955294,3.1709489342762,-0.0771460608869055,0.93850735086675,0.999750903113572
"Draconibacterium",1.79114267484803,-0.509498617943403,1.38690046678017,-0.367364948060228,0.713346813891229,0.999750903113572
"Maribellus",0.623682238603438,-0.77448907914876,2.37897997888876,-0.325555105978879,0.74476098338763,0.999750903113572
"Mangrovibacterium",0.323512685200895,-0.525145495818201,3.17062175861003,-0.165628553576955,0.868449275141064,0.999750903113572
"Aquipluma",0.351480395691456,-0.256206526428416,2.42933385591475,-0.105463695656579,0.916007875965009,0.999750903113572
"Sunxiuqinia",0.0886619815392737,-0.337859692524076,3.17624548636339,-0.106370774543282,0.915288180033932,0.999750903113572
"Labilibaculum",1.26720134576926,-0.735917077346412,1.98317813507535,-0.371079664670896,0.710578196696659,0.999750903113572
"Marinifilum",0.827778969007828,-1.470954399401,2.16279518257374,-0.680117290464165,0.496430197210701,0.999750903113572
"Carboxylicivirga",0.682334544721561,0.585037872000015,2.30896654224889,0.253376504724143,0.799977281916356,0.999750903113572
"Xiashengella",0.182477103727579,-0.787069314983659,3.18621191635412,-0.247023530024417,0.804890013935629,0.999750903113572
"Flavobacterium",19.1167063648229,-0.394282218476439,0.647993465617282,-0.6084663494266,0.5428782177014,0.999750903113572
"Maribacter",0.629067063645391,-1.44151441534847,1.87043182187353,-0.770685356445957,0.440893453716103,0.999750903113572
"Capnocytophaga",295.938759433506,0.3935024787329,1.00160070296101,0.392873604790408,0.694412837612253,0.999750903113572
"Polaribacter",0.792269002973774,-1.27149950738235,1.84923005588287,-0.68758319352283,0.491715294743273,0.999750903113572
"Cellulophaga",0.611372656005944,-1.91855573525564,2.18876432629263,-0.876547425508039,0.380732506107711,0.999750903113572
"Aequorivita",0.400292175804909,-0.0301497577814791,3.17496977748159,-0.00949607709506896,0.992423340569306,0.999750903113572
"Aestuariibaculum",0.288568067295702,0.323407160117753,3.17595819955749,0.101829791136046,0.91889177864784,0.999750903113572
"Amniculibacterium",0.36091088477649,-1.35318033584038,3.08888279362987,-0.438080829298868,0.661327690826236,0.999750903113572
"Aggregatimonas",0.186340102269519,0.0640328400160932,3.17632033599832,0.0201594402461198,0.983916183299214,0.999750903113572
"Myroides",1.01451168446681,-0.700665076148331,1.46836209383753,-0.477174587309837,0.63323780554479,0.999750903113572
"Dokdonia",0.0194560242352238,0.028797945731954,3.19578513955361,0.00901122712397882,0.992810178308928,0.999750903113572
"Lacinutrix",1.19179378012351,-0.88071308937405,1.81152520565421,-0.486172141919489,0.626845121157487,0.999750903113572
"Algibacter",0.0616517952235107,-0.272145545659792,3.188486130126,-0.085352588831565,0.931981084185724,0.999750903113572
"Zunongwangia",0.291162237206055,0.287769822327736,3.18079558707719,0.0904710203626023,0.927912921894348,0.999750903113572
"Euzebyella",0.00938803332667516,-0.227375177418607,3.19511119623957,-0.0711634630075513,0.943267659959074,0.999750903113572
"Flagellimonas",0.49548907519724,-1.20446639566516,2.24811831531661,-0.53576646187126,0.592119963817503,0.999750903113572
"Aquimarina",0.6593183913441,0.711163363370857,2.08479765362868,0.341118651075344,0.733014260886295,0.999750903113572
"Tamlana",0.259201640248836,1.0431062110305,3.19125239380114,0.326864215772054,0.743770587400528,0.999750903113572
"Robiginitalea",0.0616517952235107,-0.272145545659792,3.188486130126,-0.085352588831565,0.931981084185724,0.999750903113572
"Leeuwenhoekiella",0.259255986318911,-0.808749161988403,3.16586745254337,-0.255458945806046,0.798368648366942,0.999750903113572
"Tenacibaculum",1.03236746428294,-0.736583661768139,1.886619610918,-0.390425106102723,0.69622222600435,0.999750903113572
"Sinomicrobium",0.067696929660728,-0.567046844159403,3.18672500401286,-0.177940312843234,0.858769850943781,0.999750903113572
"Costertonia",0.0187760666533503,-0.46978485202418,3.18906449016586,-0.147311179649348,0.882886408664145,0.999750903113572
"Kordia",0.428316789247096,-0.473613749966784,2.93961561130443,-0.16111417701875,0.872003474471413,0.999750903113572
"Pseudalgibacter",0.0194560242352238,0.028797945731954,3.19578513955361,0.00901122712397882,0.992810178308928,0.999750903113572
"Zobellia",0.339120418714924,-0.178098256233698,2.43747963525228,-0.0730665617295565,0.941753150383995,0.999750903113572
