"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_51","garrett_61","garrett_96","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","garrett_57","garrett_89","garrett_38","garrett_68","garrett_62","garrett_66","garrett_41","garrett_71","garrett_70","garrett_78","garrett_40","garrett_45","25617X23","25617X24","25617X25","25617X26","25617X27","25617X28","25617X29","25617X30","25617X31","25617X32","25617X33","25617X34","25617X35","25617X36","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Burzaovirus intestinihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114162027882934,0.000186025399908103,0,0,0,0,0,0.00339391471092331,0,0,0,0.00105205571687077,0,0,0,0,0,0,0,0
"Burzaovirus faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70810139414668e-05,9.30126999540517e-05,0,0,0,0,5.87803431478872e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bohxovirus oralis",0,0,0,0,0,0,0,0,0.00828546177640301,0.0130773525402757,0,0.00491388417974988,0,0,0,0,0,0.017925430210325,0,0.00729692653454365,0.00808400902175407,0,0,0,0,0,0,0,0,0,0,0,2.07663143799874e-05,0,0,0,0,0.000169218195017201,0,0,0,0,0,0,0,0,0
"Cohcovirus splanchnicus",0.0194555683457903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30126999540517e-05,0,0,0,0,0,0,0,0,0,0,0.00016578936461226,0,0,0,0,0,0,0
"Cohcovirus hiberniae",0.0113490815350443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canhaevirus hiberniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300806160510167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurodevirus hiberniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010612331529237,0,0,0.00055807619972431,0,0.000318967396215983,0,0,0,0,0,0.0220647723650984,0,0.00420822286748306,0.00033157872922452,0,0,0,0,0,0,0.000681328863815987
"Kahnovirus copri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149209191286183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lebriduvirus gastrointestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149209191286183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drivevirus gastrointestinalis",0,0,0,0,0.00691228312711689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180562452038099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62695853325448e-05,0,0
"Kingevirus communis",0,0,0,0,0,0,0,0,0,0.000502975097702913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miltoncavirus PhiPA3",0,0.00392788404886288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taranisvirus taranis",0.00324259472429838,0,0,0,0,0,0,0,0,0.000502975097702913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285405069707334,0.000186025399908103,0,0,5.25117967751455e-05,0,0,0,0.00715256419426364,0,0,0.00210411143374153,0,0,0,0.000269556673616736,0,0.00011253917066509,0,0.00204398659144796
"Skunavirus sv63302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225703065047623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skunavirus CHPC958",0,0,0,0,0,0,0,0,0,0.000502975097702913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus phage SpSL1",0.00162129736214919,0,0.00803116090430872,0,0,0,0,0,0.00138091029606717,0,0,0,0,0.00235244301206803,0,0,0,0,0.00300806160510167,0.0102156971483611,0.000808400902175407,0,0,0.0067710919514287,0.00278206679742381,0,0,0.00131286332065374,0.000372050799816207,0.000436520677984516,0.0143535328297193,0.00456852631943766,0.00199356618047879,0.00211609235332394,0,0,0,0.00338436390034402,0,0.0134289385335931,0.0025687497324219,0.00251728793537569,0.00741280852446025,0.00237007359593749,0.000393887097327814,0.000643206771680892,0.00476930204671191
"Streptococcus phage PH10",0,0,0.0120467413564631,0,0,0,0,0.0288850375505488,0.00138091029606717,0,0,0,0,0.00156829534137869,0,0,0,0.0119502868068834,0.0165443388280592,0.00875631184145238,0,0,0,0,0,0.00530616576461849,0,0.00176951143218547,0.00055807619972431,0.000291013785323011,0.00882476462864221,0.00367582577426019,0.00207663143799874,0.00240999406906338,0,0,0,0.00609185502061924,0.00526027858435383,0.0145894640858789,0.00456666619097227,0.00159632893462849,0.00417812844105941,0.000515233390421193,0.000787774194655627,0.00128641354336178,0
"Lughvirus lugh",0,0,0,0,0,0,0,0.0144425187752744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanisvirus avazak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105023593550291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toutatisvirus toutatis",0.0113490815350443,0,0,0,0,0,0,0,0,0.00704165136784078,0,0,0.210378681626928,0,0,0,0,0,0.00902418481530502,0,0,0.260416666666667,0,0.00451406130095247,0,0.010612331529237,0,0,0.000744101599632414,0,0.000159483698107992,0.000315070780650873,0,0.000117560686295774,0,0,0.041677903356297,0.000338436390034402,0.0199890586205445,0,0,0,0.000269556673616736,0,0,0,0.00681328863815987
