"","garrett_64","garrett_79","garrett_74","garrett_80","garrett_81","garrett_83","garrett_92","garrett_84","garrett_86","garrett_87","garrett_37","garrett_93","garrett_75","garrett_65","garrett_77","garrett_69","garrett_72","25617X51","25617X52","25617X53","25617X58","25617X59","25617X60","25617X61","25617X62","25617X63"
"Burzaovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120426792552807,0.00105728362690575,0.011335512270692,0,0,0.12853470437018,0,0,0
"Cohcovirus",0,0,0,0,0,0,0.0294247462115639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurodevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428449014567267,0,0,0
"Kolpuevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068607810313126,0,0,0,0,0,0,0,0,0
"Mahlunavirus",0,0,0,0,0,0,0,0,0,0,0.112930547713156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kahnovirus",0,0,0.0876808417360807,0,0,0,0,0,0,0,0.0564652738565782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drivevirus",0,0,0,0,0,0,0,0.87719298245614,0,0,0,0,0,0,9.42678545673247e-05,0,0,0,0,0,0,0,0,0,0,0
"Kingevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084298754786965,0,0.00377850409023068,0,0,0,0,0,0
"Taranisvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188925204511534,0,0,0,0,0,0
"Felixounavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170625170625171,0,0,0,0,0
"Tanisvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000377071418269299,0,0,0,0,0,0,0,0,0,0,0
"Toutatisvirus",0,0,0,0,0,0,0,0,0,0,0.338791643139469,0,0,0,0.000377071418269299,0,0,0.00240853585105614,0.00105728362690575,0,0,0,0,0,0,0
"Brigitvirus",0,0,0.0438404208680403,0,0,0,0,0,0,0,0.0564652738565782,0,0,0,0,0,0,0.00120426792552807,0.00317185088071726,0.00755700818046135,0,0,0,0,0,0.00315507177788295
"Paclarkvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471339272836623,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides",13.2307692307692,7.47722274583726,14.9934239368698,0.125628140703518,23.9263803680982,0,15.8305134618214,3.07017543859649,13.8829948469233,22.156652360515,24.3365330321852,9.56284153005464,7.11297071129707,11.217008797654,0.138856549777669,2.60869565217391,0.0981091687477702,1.2139020689323,1.97817766594067,3.5593508529973,0.12967512967513,4.0169133192389,3.04198800342759,2.33208955223881,0.451440372802372,0.369143398012305
"Phocaeicola",2.94505494505494,5.56079170593779,7.4967119684349,0.376884422110553,2.45398773006135,0,5.16404296012947,1.53508771929825,3.81933919369506,6.70600858369099,9.65556182947487,4.37158469945355,2.92887029288703,4.25219941348974,0.0371415346995259,0.579710144927536,0.0192101868876753,1.05614297068812,2.0765050432429,3.25518127373373,0.119437619437619,3.38266384778013,2.44215938303342,2.36796785304248,0.428934547765304,0.250828206341694
"Parabacteroides",3.34065934065934,4.0841972981464,25.6466462078036,0,1.84049079754601,25,2.39811681624246,0.43859649122807,28.584419521067,10.1931330472103,3.78317334839074,3.27868852459016,0,1.46627565982405,0.0201733208774075,0.579710144927536,0.0137215620626252,0.250487728509839,0.282294728383836,0.513876556271372,0.00341250341250341,0.761099365750529,0.51413881748072,0.34443168771527,0.0264774412200805,0.0836094021138981
"Tannerella",0,0.0314169022934339,0,0.251256281407035,0,0,0,0,0,0,0,0,0,0,0.0247924457512064,0,0.0411646861878756,0.00120426792552807,0.00317185088071726,0,0,0,0,0,0,0
"Alistipes",6.81318681318681,1.57084511467169,4.34020166593599,0.125628140703518,13.4969325153374,0,8.16536707370899,1.31578947368421,4.78933010003031,7.45708154506438,8.18746470920384,4.91803278688525,0.418410041841004,7.69794721407625,0.0268663385516875,2.02898550724638,0.0253848898158566,0.211951154892941,0.317185088071726,0.638567191248985,0.0102375102375102,0.422832980972516,0.856898029134533,0.337256027554535,0.0648697309891972,0.0504811484461272
"Acetobacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000659874981971273,0,0.00068607810313126,0,0,0,0,0,0,0,0,0
"Segatella",0.175824175824176,0.0314169022934339,0.175361683472161,0,0,0,0.779755774606444,5.92105263157895,0.0303122158229767,0.107296137339056,0.169395821569735,0.273224043715847,0,0,0.0861608190745348,0,0.251104585746041,0.125243864254919,0.0983273773022351,0.296612571083108,0.00511875511875512,0.295983086680761,0.728363324764353,0.17939150401837,0.0291251853420885,0.0189304306672977
"Paraprevotella",0,0,0.701446733888645,0,0,0,0.559070178019715,0.43859649122807,0.333434374052743,0.590128755364807,1.75042348955392,0.546448087431694,0,0.0733137829912024,0.0157427317127432,0,0.00960509344383765,0.0132469471808088,0.0105728362690575,0.0207817724962687,0,0,0,0.0143513203214696,0.00132387206100402,0.00473260766682442
"Prevotella",0.835164835164835,2.51335218347471,0.526085050416484,0.125628140703518,0,0.735294117647059,0.926879505664264,2.19298245614035,0.333434374052743,0.536480686695279,0.338791643139469,0.819672131147541,0,1.02639296187683,18.1301593975153,1.44927536231884,33.3207552347759,0.214359690743997,0.0592078831067222,0.0491205531729988,0.00170625170625171,0.0845665961945032,0.12853470437018,0.0143513203214696,0.00264774412200805,0.00157753588894147
"Pseudoprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733137829912024,0.0160255352764452,0,0.0123494058563627,0,0,0.00377850409023068,0,0,0,0,0,0
"Hoylesella",0.043956043956044,0.157084511467169,0,0,0,0,0.0735618655289098,0.43859649122807,0,0,0,0,0,0,0.0648562839423194,0,0.139273854935646,0.00120426792552807,0.00105728362690575,0.00188925204511534,0,0,0,0,0,0
"Xylanibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733137829912024,0.00320510705528904,0,0.00617470292818134,0,0,0.00188925204511534,0,0,0,0,0,0
"Odoribacter",0.395604395604396,0.0314169022934339,0.131521262604121,0,0.613496932515338,0,0.294247462115639,0,0.121248863291907,0,0.282326369282891,0,0,0.879765395894428,0.00490192843750088,0,0.00205823430939378,0.0397408415424264,0.0496923304645704,0.136026147248304,0,0,0,0.0430539609644087,0.00661936030502012,0.00631014355576589
"Butyricimonas",0.131868131868132,0,0.350723366944323,0,0,0,0.264822715904075,0,0.0303122158229767,0.268240343347639,0.112930547713156,0.273224043715847,0,0,0.00150828567307719,0,0.00137215620626252,0.0252896264360895,0.0592078831067222,0.105798114526459,0,0,0.0856898029134533,0.0287026406429392,0,0.00631014355576589
"Barnesiella",0,0,0,0,0,0,0,0,0.0303122158229767,0,0.0564652738565782,0,0,0.0733137829912024,0.00405351774639496,0,0.00205823430939378,0.00240853585105614,0,0.00566775613534602,0,0,0,0.0215269804822044,0.00132387206100402,0
"Coprobacter",0,0,0.0876808417360807,0,0,0,0.0294247462115639,0,0.09093664746893,0.0536480686695279,0,0,0,0,0.00263949992788509,0,0.00068607810313126,0.00120426792552807,0,0.00944626022557669,0,0,0,0,0,0
"Porphyromonas",0,0.0942507068803016,0,0,0,0,0.014712373105782,0,0.0303122158229767,0.0536480686695279,0,0,0,0,0.129618300030071,0,0.154367573204534,0.00722560755316843,0.00211456725381151,0.00755700818046135,0,0,0,0,0,0.00157753588894147
"Macellibacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000659874981971273,0,0.00205823430939378,0.00120426792552807,0,0,0,0,0,0,0,0
"Sodaliphilus",0,0,0.0876808417360807,0,0,0,0,0,0,0,0,0,0,0,0.00141401781850987,0,0.00137215620626252,0,0,0,0,0,0,0,0,0
"Duncaniella",0.043956043956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386498203726031,0,0.0034303905156563,0,0,0,0,0,0,0,0,0
"Muribaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160255352764452,0,0.00274431241252504,0,0.00105728362690575,0,0,0,0,0,0,0
"Paramuribaculum",0,0,0,0,0,0,0.014712373105782,0,0,0,0,0,0,0,0.00263949992788509,0,0.00205823430939378,0,0,0,0,0,0,0,0,0
"Proteiniphilum",0,0,0,0,0,0,0,0.219298245614035,0,0,0,0,0,0,0.00103694640024057,0,0,0.00120426792552807,0,0,0,0,0,0,0,0
"Dysgonomonas",0,0,0,0,0,0,0,0.219298245614035,0,0,0,0,0,0,0.000848410691105922,0,0,0,0.00105728362690575,0,0,0,0,0,0,0
"Petrimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000565607127403948,0,0.00274431241252504,0,0,0.00188925204511534,0,0,0,0,0,0
"Paludibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000848410691105922,0,0,0,0,0,0,0,0,0,0,0
"Salinivirga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000377071418269299,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Azobacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000282803563701974,0,0,0,0,0,0,0,0,0,0,0
"Draconibacterium",0,0,0,0,0,0,0,0.219298245614035,0,0.0536480686695279,0,0,0,0,0.00452485701923159,0,0.00411646861878756,0.00240853585105614,0.00105728362690575,0.00188925204511534,0,0,0,0,0,0
"Mangrovibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103694640024057,0,0.00068607810313126,0,0.00105728362690575,0,0,0,0,0,0,0
"Aquipluma",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733137829912024,0.000659874981971273,0,0,0,0,0,0,0.0422832980972516,0,0,0,0
"Sunxiuqinia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471339272836623,0,0,0,0,0,0,0,0,0,0,0
"Labilibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103694640024057,0,0.00068607810313126,0,0,0,0,0,0,0,0,0
"Marinifilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000377071418269299,0,0,0,0,0.00188925204511534,0,0,0,0,0,0
"Carboxylicivirga",0.0879120879120879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011312142548079,0,0.00068607810313126,0,0,0,0,0,0,0,0,0
"Xiashengella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42678545673247e-05,0,0,0,0,0,0,0,0,0,0,0
"Flavobacterium",0.0879120879120879,0,0.131521262604121,0.251256281407035,0.613496932515338,0,0.014712373105782,0.219298245614035,0.151561079114883,0.0536480686695279,0.0564652738565782,0.273224043715847,1.25523012552301,0.0733137829912024,0.0221529458233213,0.579710144927536,0.0164658744751503,0.0252896264360895,0.0422913450762301,0.11335512270692,0.0119437619437619,0.0422832980972516,0.0428449014567267,0.0358783008036739,0.0317729294640966,0.0126202871115318
