"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Burzaovirus",490422.709346421,13.1594420074456,3.13061183218017,4.20347290334022,2.62850630735507e-05,0.000376870971905909
"Buhlduvirus",2.19542719454484,-1.308095854049,3.1320394296336,-0.417649867901577,0.676203130760125,0.885159568838349
"Cohcovirus",69451.7114229206,8.16987289345391,3.11855621340636,2.61976130439222,0.0087991332088249,0.0569260996009953
"Canhaevirus",7958.32431452677,6.34021730171986,3.11899757679628,2.03277403896938,0.0420753571333035,0.194943030211507
"Culoivirus",463.137365391041,8.6442039840747,2.27672210342643,3.79677606286043,0.000146590099697091,0.00174755163796195
"Buchavirus",8.82665374194553,1.5627896422872,1.17043840247117,1.33521733308446,0.181805225482551,0.502331625617153
"Aurodevirus",10.1953314481374,8.15257893280267,3.12778881835697,2.60649916162985,0.00914730478727129,0.0581155112532625
"Kehishuvirus",220.534410051329,19.0151024535295,3.136494366497,6.06253359057252,1.33993811824335e-09,4.73891447818731e-08
"Kolpuevirus",7.72475190890844,4.06890772231705,3.12992523204775,1.30000157213179,0.193600430343747,0.522671899732101
"Mahlunavirus",6.18641326003873,16.8019128798731,3.13578901909421,5.35811330978076,8.40954959583327e-08,2.12441240980455e-06
"Mahstovirus",3.39578225461805,15.9595984596472,3.13479580657113,5.09111260969307,3.55968528072536e-07,8.03580017627575e-06
"Drivevirus",186.404857523837,-0.852791485822549,3.13065074362024,-0.27240071015919,0.785313926711617,0.922722122083085
"Kingevirus",326.920989670513,-1.21669387776154,3.11619532994476,-0.390442109347203,0.69620965499115,0.885159568838349
"Miltoncavirus",36.0401317186392,-1.90248462969456,3.125113238969,-0.608773021716873,0.542674898044903,0.833948870153849
"Taranisvirus",21.3220036832692,0.81799946077783,1.13138893020566,0.723004652899632,0.469677025599422,0.77213660876657
"Felixounavirus",90052.9911082906,-7.81573037691086,3.12459535869384,-2.50135760944676,0.0123718181683431,0.0733323970760448
"Skunavirus",101.222562560201,0.922777040111601,1.81726180606103,0.507784314309532,0.611604611294319,0.858349857914382
"Yosifvirus",6.45901044192179,-1.3077404768097,3.13184303137015,-0.417562586537927,0.676266955962369,0.885159568838349
"Lughvirus",10.2669706252563,0.904065582800129,0.984273862424602,0.918510200578838,0.35835182107652,0.672939853879281
"Toutatisvirus",122.104720337378,2.41898250188311,1.10071716451909,2.19764220987685,0.0279746127725864,0.142014661012986
"Brigitvirus",12.8806048983775,0.150514697225065,2.02684950776912,0.0742604207407244,0.940803169711923,0.985129713141437
"Rudivirus",47.6391792323517,17.925853311516,3.13939372295512,5.70997297358496,1.12994115544597e-08,3.15491464717941e-07
"Bacteroides",377906.294654877,1.64170877808014,0.721485323740798,2.2754569276172,0.0228785337123296,0.123847572799906
"Phocaeicola",170515.058981155,5.35025392423384,0.708101434737502,7.55577331405523,4.16378480219472e-14,3.39828898086815e-12
"Parabacteroides",518752.689865595,2.96563564425373,0.829095662875675,3.57695230724953,0.000347623567406901,0.00380235675277033
"Tannerella",34.7352015453536,1.4132459479316,0.526453754154166,2.68446361485674,0.0072646290193086,0.0494087909582463
"Alistipes",86579.8493418865,5.59483690717703,0.691024107252208,8.09644243733314,5.65897359521398e-16,6.00417098452203e-14
"Acetobacteroides",7.67215278507544,2.11540132425623,0.646945675941102,3.2698283687869,0.00107612755998425,0.0105719568624379
"Segatella",10462.3959137042,1.77271654364935,0.676368246233284,2.6209340156367,0.00876892324784428,0.0569260996009953
"Paraprevotella",1889.69478227313,3.98416244566129,0.630001180563954,6.32405552334809,2.54786106829583e-10,1.03972330517765e-08
"Prevotella",612.504864437095,0.667190285249897,0.372265703603432,1.79224215067806,0.073094185421038,0.290460414725548
"Pseudoprevotella",51.7463823697084,2.01769974368547,0.891872983851374,2.26231737054355,0.0236778019616357,0.126597112316949
"Hoylesella",43.3657424741707,1.57095840938836,0.623990419445853,2.51760020736132,0.011815735340531,0.071239891499509
"Xylanibacter",12.3046800512541,1.6888529298123,0.546821198863534,3.08849205795654,0.00201175070703206,0.0177872291680084
"Odoribacter",6348.64838489733,3.79999416041648,0.754733775364448,5.03488022459513,4.78147708676702e-07,1.03533616103261e-05
"Butyricimonas",3686.4285859564,3.48231130843594,0.681590158473528,5.10909857653291,3.23699444604638e-07,7.63211357167823e-06
"Barnesiella",369.340655399322,4.34095936485141,0.699584189060034,6.20505642170666,5.46772825698545e-10,2.14861469654132e-08
"Coprobacter",406.030236282981,3.14598708945468,0.691174846688564,4.55165158935859,5.32264267606721e-06,8.96400615763065e-05
"Porphyromonas",96.7849934182185,2.16571610259479,0.484154391786527,4.47319313701422,7.70601156422551e-06,0.000123879973782474
