"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Burzaovirus",0.170650332962825,2.02447443937726,3.13664981477417,0.645425711802964,0.518651345588403,0.90882671576928
"Cohcovirus",0.0938798277430362,0.66083412877298,3.14512895747557,0.210113524026498,0.833579070432955,0.90882671576928
"Aurodevirus",0.0520667200824527,1.43089101205007,3.1483930136452,0.454482971423376,0.64948124554004,0.90882671576928
"Kolpuevirus",0.00232728463587107,1.15722557560285,3.14950403645635,0.36743105016144,0.713297514164547,0.90882671576928
"Mahlunavirus",0.676366534247062,1.2987380414364,3.14330947578995,0.413175365467319,0.679478135425794,0.90882671576928
"Kahnovirus",1.14182646156718,1.47525833065453,3.13626640624351,0.470386803786076,0.63807869047403,0.90882671576928
"Drivevirus",1.56237734374241,1.30389164548234,3.13823570906383,0.415485567803732,0.677786478111782,0.90882671576928
"Kingevirus",0.0111655955288259,0.871778615578544,3.13859655853904,0.277760648531502,0.781196100818915,0.90882671576928
"Taranisvirus",0.00215511260268908,1.45223574699474,3.14851877210917,0.461244112583739,0.644623476355953,0.90882671576928
"Felixounavirus",0.077884035228134,0.834238508090984,3.1490308101461,0.264919131754154,0.791071759738553,0.90882671576928
"Tanisvirus",0.001502965075312,1.00567821965398,3.14948011063295,0.319315628080555,0.749487183022299,0.90882671576928
"Toutatisvirus",2.03310140353347,0.718359213392436,3.09694906493907,0.23195706430082,0.816571362050572,0.90882671576928
"Brigitvirus",0.776258577364638,2.17021911957343,2.91877994571288,0.743536395321976,0.457156995176738,0.90882671576928
"Paclarkvirus",0.00187870634414,0.984241336696139,3.14940809091971,0.31251629140532,0.7546481838842,0.90882671576928
"Bacteroides",501.429321408094,0.800826778151666,0.678133036198157,1.18092871959368,0.237631041136323,0.90882671576928
"Phocaeicola",224.886658025443,0.372829733682096,0.624550367705146,0.596957031747536,0.550536068595497,0.90882671576928
"Parabacteroides",398.178690736425,1.21707893338362,0.801543970502674,1.51841817563715,0.128909012562893,0.90882671576928
"Tannerella",0.60143956762049,0.112023503064878,3.09791813265602,0.0361608984704944,0.971154064084415,0.977430617965101
"Alistipes",168.565398741546,1.01856051207535,0.714457924508057,1.42564100296975,0.153971994220737,0.90882671576928
"Acetobacteroides",0.00495747351766708,0.977744522159558,3.14916369345078,0.310477516361866,0.756197854634199,0.90882671576928
"Segatella",20.9679101110569,0.796985948933108,0.858588330913564,0.928251549942557,0.353277099860073,0.90882671576928
"Paraprevotella",21.7444812055015,0.00617471460533895,1.05154132697683,0.00587206079963703,0.995314800273028,0.996019796496866
"Prevotella",206.473706817375,-0.00771892890507815,0.700501950446238,-0.0110191397756437,0.99120817641936,0.992947138132377
"Pseudoprevotella",0.169322726671489,1.05798006857963,3.14332434853478,0.336579987067765,0.736433544824523,0.90882671576928
