"","garrett_56","garrett_64","garrett_79","garrett_74","garrett_80","garrett_81","garrett_83","garrett_59","garrett_94","garrett_92","garrett_84","garrett_86","garrett_87","garrett_37","garrett_93","garrett_75","garrett_65","garrett_77","garrett_69","garrett_72","garrett_63","garrett_54","garrett_33","garrett_91","garrett_55","garrett_88","garrett_44","garrett_90","garrett_52","garrett_42","garrett_58","25617X43","25617X44","25617X45","25617X46","25617X47","25617X48","25617X49","25617X50","25617X51","25617X52","25617X53","25617X54","25617X55","25617X56","25617X57","25617X58","25617X59","25617X60","25617X61","25617X62","25617X63"
"Burzaovirus intestinihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0.00126455822658354,0,0.0123180521053604,0,0.00569508514152287,0,0,0,0,0.0478468899521531,0,0,0
"Burzaovirus coli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113704844963444,0,0,0,0,0,0,0,0.0956937799043062,0,0,0
"Cohcovirus splanchnicus",0,0,0,0,0,0,0,0,0,0.0180635838150289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cohcovirus hiberniae",0,0,0,0,0,0,0,0,0,0.0180635838150289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canhaevirus hiberniae",0,0,0,0,0,0,0,0,0.12970168612192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurodevirus hiberniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025745327223109,0,0,0,0,0,0,0.0170852554245686,0,0,0,0,0.0478468899521531,0,0,0
"Kolpuevirus coli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mahlunavirus rarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.131752305665349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kahnovirus copri",0,0,0,0.109349371241115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kahnovirus oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658761528326746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drivevirus gastrointestinalis",0,0,0,0,0,0,0,0,0,0,1.01522842639594,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingevirus communis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533333333333333,0,0,0,0,0,0,0,0.0088519075860848,0,0.00410601736845347,0,0,0,0,0,0,0,0,0,0
"Taranisvirus taranis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120467413564631,0.00798881565807869,0,0,0,0.0080633781522769,0,0,0.00205300868422673,0,0,0,0,0,0,0,0,0,0
"Streptococcus phage SpSL1",0,0,0.0792707094728498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559035214833945,0,0.00544107702233173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus phage PH10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00679611437641266,0,0.00233189015242789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
